Experiment No.,Burst Error Length,Error Detected (Yes/No)
1,77,Yes
2,90,Yes
3,99,Yes
4,81,Yes
5,132,Yes
6,85,Yes
7,74,Yes
8,58,Yes
9,61,Yes
10,50,Yes
11,81,Yes
12,109,Yes
13,108,Yes
14,116,Yes
15,68,Yes
16,80,Yes
17,40,Yes
18,69,Yes
19,37,Yes
20,78,Yes
21,121,Yes
22,91,Yes
23,35,Yes
24,128,Yes
25,89,Yes
26,53,Yes
27,107,Yes
28,34,Yes
29,105,Yes
30,44,Yes
31,72,Yes
32,104,Yes
33,119,Yes
34,98,Yes
35,76,Yes
36,132,Yes
37,44,Yes
38,113,Yes
39,80,Yes
40,63,Yes
41,72,Yes
42,58,Yes
43,85,Yes
44,132,Yes
45,85,Yes
46,112,Yes
47,67,Yes
48,87,Yes
49,49,Yes
50,55,Yes
